job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,Posted_as_on_22_5_2022
Sr. Software Engineer - Library Development,AgreeYa,3.4,(108 Reviews),3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,"REQUIRED KNOWLEDGE, SKILLS, AND ABILITIES PREFERRED SKILLS 5 years of relevant experien...","algorithms
C programming
ARM
debugging
GPU architecture
Linux
image processing
Deep Learning",30+ DAYS AGO
Engineering Manager Kubernetes & Container networking,Vmware,4.3,(363 Reviews),5-10 Yrs,Not disclosed,"Kalyani, Bangalore/Bengaluru",Have proven experience providing team oversight during the full software development li...,"IT Skills
Java
Python
Software Development
Testing
Cloud
DevOps
Computer science",30+ DAYS AGO
Senior Engineer - Software Development,AgreeYa,3.4,(108 Reviews),4-8 Yrs,Not disclosed,Pune,"Experience in communicating with users, other technical teams and management to collect...","jQuery
LINQ
Coding
XML
Javascript
Agile
XSLT
MVC",30+ DAYS AGO
Senior Software Development Engineer - Testing,Pega,3.8,(163 Reviews),5-10 Yrs,Not disclosed,Hyderabad,Bachelor of Engineering or equivalent Must be able to perform in a fast - paced interac...,"IT Skills
Software Development
Testing
Product management
Object oriented design
Automation
Manual testing
PDF",30+ DAYS AGO
Senior Software Development Engineer,Druva,3.6,(25 Reviews),4-9 Yrs,Not disclosed,Hyderabad/Secunderabad,"Some Salesforce certification will be an advantage 6 years of experience, preferably in...","written
Agile
Data structures
Linux
verbal communication
Scrum
C
Salesforce APIs",29 DAYS AGO
"Sr. Engineer, Software Development- .Net Full Stack",Ingram Micro,3.9,(477 Reviews),5-10 Yrs,Not disclosed,Mumbai,Four year college degree (or additional relevant experience in a related field)Minimum ...,"Software Development
Policies
Software Engineering
Full Stack
Individual Contributor
. Net
Software Design
Operating Systems",30+ DAYS AGO
Sr. Software Development Engineer,VeriFone India Technologies Pvt Ltd,3.8,(86 Reviews),3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Proficiency in .NET framework C#, VB.NET, Windows Service, Web Services, Web API (REST)...","Jenkins
Jira
SonarQube
VB Net
Agile
NET framework C#
ADO NET
communication",5 DAYS AGO
Senior Software Development Engineer,Ingram Micro,3.9,(477 Reviews),4-9 Yrs,Not disclosed,Mumbai,Applies coding experience to develop and maintain test tools and frameworks to validate...,"IT Skills
Java
Python
Software Development
Testing
Selenium
DevOps
Test Engineering",30+ DAYS AGO
Senior Manager-Software and Platform,Accenture,4.1,(26528 Reviews),16-25 Yrs,Not disclosed,Bangalore/Bengaluru,Skill required: Business Process Design - Operations Management Designation: Senior Man...,"Business process
Process design
Organizational development
Consulting
Business operations
IT Skills
Cloud
Business administration",9 DAYS AGO
Network Engineering Advisor,NTT DATA,4,(7279 Reviews),3-6 Yrs,Not disclosed,Noida,"Must be good with routing protocols(BGP, EIGRP and OSPF), VPC, switching, VRF, ACL, HSR...","VRRP
Network engineering
SNMP
HSRP
Visio
Troubleshooting
cisco
DHCP",9 DAYS AGO
Network Engineering Advisor,NTT DATA,4,(7279 Reviews),3-6 Yrs,Not disclosed,Noida,"Role Responsibilities Must have great experience on Routing & Switching, Firewalls, Loa...","IT Skills
Testing
Wireless
Telecom
Change management
Networking
WAN
Ethernet",9 DAYS AGO
Urgent Hiring For Sr Java Professional | Iris Software |Noida,Iris Software,4.1,(241 Reviews),3-8 Yrs,Not disclosed,Noida,We are looking for Java professionals with 3+ yrs of experience in Java technologies.Po...,"spring framework
multithreading
core java
Design Patterns
Spring
SQL
communication
Troubleshooting",3 DAYS AGO
Network Support Engineer,TELUS International India,4.1,(105 Reviews),3-6 Yrs,Not disclosed,Noida,Network Support EngineerAbout TELUS International:TELUS International (NYSE : TIXT) foc...,"Nexus
Network Support
Monitoring Tools
Datacenter
Cisco
switching
eigrp
Routing",12 DAYS AGO
"Software Development Engineer, Senior",PTC,4.1,(208 Reviews),6-8 Yrs,Not disclosed,Pune,"Proficient in C, C++, and Microsoft Visual StudioBachelor Degree in Computer Science or...","Microsoft Visual Studio
IT Skills
Software Development
Testing
Design
Drawing and Layout
C++
C",17 DAYS AGO
Devops Engineer (DM-3226),Oodles Technologies Pvt Ltd,3,(116 Reviews),0-0 Yrs,Not disclosed,Gurgaon/Gurugram,"Experience with Github is a mustLinux Systems Engineering, DevOps, IT and / or software...","Docker
Linux
AWS
Jenkins
Ansible
Amazon Web Services
Rackspace Cloud
MVN",15 DAYS AGO
Data Warehouse Engineer,Tide Software,3.7,(3 Reviews),0-4 Yrs,Not disclosed,New Delhi,Integration of additional data sources into our Snowflake Data Warehouse using Fivetran...,"IT Skills
Python
Testing
AWS
Performance tuning
Coding
Unit testing
Apache",23 DAYS AGO
Technical Database Engineer,Cybonix Technologies Pvt Ltd,4.1,(7 Reviews),0-3 Yrs,Not disclosed,Noida,"Technical Database Engineer Experience Required: 0 to 3 Years Dec 10, 2017 - Feb 20, 2018","DEC
technical
Database
Technical Database Engineer",30+ DAYS AGO
Devops Engineer (DM-3357),Oodles Technologies Pvt Ltd,3,(116 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,"Experience with Github is a mustLinux Systems Engineering, DevOps, IT and / or software...","git
devops
linux
jenkins
aws
ANT
python
Ansible",30+ DAYS AGO
Backend Engineer,KlearNow,3.9,(7 Reviews),0-2 Yrs,Not disclosed,Gurgaon,BSMS in Computer Science or equivalent with 3 years minimum industrial working experien...,"Go
data structures
Python
Java
algorithms
Scala
IT Skills
Computer science",30+ DAYS AGO
QA Engineer,Aadya technobytes Pvt. Ltd.,5,(2 Reviews),0-4 Yrs,Not disclosed,Noida,We are seeking an experienced QA engineer with a manual testing skill set to join our t...,"IT Skills
Testing
Selenium
Manual Testing
Performance Testing
Load testing
Testing tools
Functional testing",30+ DAYS AGO
Functional verification Engineer.,IBM,4.2,(13315 Reviews),0-3 Yrs,Not disclosed,Bangalore/Bengaluru,Good communication skills and be able to work effectively in a global team environment ...,"Programming
Perl
Logic design
System verilog
Python
IT Skills
Architecture
Verilog",8 DAYS AGO
Functional verification Engineer,IBM,4.2,(13315 Reviews),0-5 Yrs,Not disclosed,Bangalore/Bengaluru,Good communication skills and be able to work effectively in a global team environment ...,"Debugging
Perl
Logic design
data visualization
Python
C
SV
VHDL",8 DAYS AGO
System Engineer,MDCONSULTING,4,(2 Reviews),0-2 Yrs,Not disclosed,Gurgaon,Enrolled for or completed certification on AWS / GCP or any other Cloud platform,"IT Skills
Java
Python
PHP
Testing
Cloud
AWS
IT services",30+ DAYS AGO
Graduate Tech Engineer,Velocitai Digital,4.3,(3 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,"Good knowledge of Web technologies like HTML, CSS, JavaScript and JQuery Good knowledge...","Servlets
JavaScript
JSP
Java Server
OOP
HTML
JQuery
postgres",30+ DAYS AGO
Automation Engineer Trainee (Opportunity For Freshers),Leapwork India Private Limited,4.6,(3 Reviews),0-2 Yrs,Not disclosed,Gurgaon/Gurugram,"Leapwork is looking for BTech (CSE, ECE, IT) fresh graduates to join our fastest growin...","test automation
communication
Testing Tools
automation engineering
Selenium",18 DAYS AGO
Desktop Laptop Support Engineer,Accel Limited,3.8,(278 Reviews),0-5 Yrs,"50,000 - 2,50,000 PA.","Gurgaon/Gurugram, Bangalore/Bengaluru, Manesar, Delhi / NCR",Desktop/Laptop Engineer/L1 SupportJob Location:- Jaipur/Baddi/Manesar/Gurgaon/Delhi/Cha...,"Installation
remote support
Onsite Support
Technical Support
troubleshooting
Desktop Support
Hardware Engineering
Windows Troubleshooting",25 DAYS AGO
Technical Content Engineer,GeeksForGeeks,4.3,(24 Reviews),0-3 Yrs,Not disclosed,Noida,Excellent writing skills in technical content is must for content writing,"writing
content writing
Computer science
CSS
jQuery
Web technologies
Coding
Javascript",30+ DAYS AGO
Component Engineer,Nippon Data Systems Ltd,3.5,(46 Reviews),0-2 Yrs,Not disclosed,New Delhi,"Should have good knowledge of various technical parameters of Electronics Components, M...","verbal
written
Microsoft Office
MS Excel
communication
Excel
Electronics
Manager Technology",30+ DAYS AGO
Field Engineer / Technician,Dynakode Technology Pvt. Ltd.,2.4,(11 Reviews),0-3 Yrs,Not disclosed,Delhi,Responsibilities Provide service and customer support during field visits or dispatches...,"Hardware support
Manager Technology
Workflow
Customer support
HTML
HR
Automation systems
Management",30+ DAYS AGO
Field Application Engineers,Opal-RT Technologies,3.9,(15 Reviews),0-2 Yrs,Not disclosed,"New Delhi, Bangalore/Bengaluru",Under the supervision of a Support Team Leader in Bangalore the Field Application Engin...,"Simulation
Aerospace
FPGA
Power electronics
Customer support
Simulink
Troubleshooting
Xilinx",30+ DAYS AGO
Technical Sales Engineer,BigStep Technologies Pvt. Ltd.,4.5,(105 Reviews),0-1 Yrs,Not disclosed,Remote,The desired candidate must have a technical background in computers/software with good ...,"B2B Sales
communication skills
Interpersonal Skills
communications
verbal
written communication
written
analytical",30+ DAYS AGO
QA Engineer,32nd Milestone,4.8,(12 Reviews),0-3 Yrs,Not disclosed,Gurgaon/Gurugram,We are looking for a motivated individual to join us as a QA Engineer (Manual testing)....,"Web Application Testing
Software Testing
Manual Testing
Mobile Application Testing
IT Skills
Writing Test Cases
Test Case Creation
Test Plan Creation",12 DAYS AGO
Technical Support Engineer,Franciscan Solutions Pvt. Ltd.,3.2,(106 Reviews),0-1 Yrs,Not disclosed,"Noida, Greater Noida",Required Skills and Qualities Well versed with SQL Good verbal and written communicatio...,"Training
ERP
Computer hardware
PDF
Database
Powerpoint
Troubleshooting
Technical support",30+ DAYS AGO
System Support Engineer,WHIRLDATA LABS PRIVATE LIMITED,4.4,(4 Reviews),0-2 Yrs,"2,00,000 - 4,00,000 PA.",Chennai(Ekkaduthangal),Having CCNA certification would be an added advantage,"Troubleshooting Skills
OS Installation
networking
Linux
Bash Scripting
Python
IT Skills
Cloud",5 DAYS AGO
Artificial Intelligence/Machine Learning Engineer,Ezeiatech Systems Private Limited,4.7,(24 Reviews),0-5 Yrs,Not disclosed,Gurgaon/Gurugram,Experience applying ML to solve complex business problems from scratch Bachelors in Com...,"IT Skills
Python
Machine Learning
Tensorflow
NLP
Artificial Intelligence
Deep Learning",27 DAYS AGO
Trainee Automation Test Engineer,Opkey,3.6,(13 Reviews),0-1 Yrs,"2,75,000 - 3,00,000 PA.",Noida,Do you believe in creating an impact in the business world? Are you a problem solver wh...,"Java
Appium
Selenium
Test Engineering
Defect Management
Effective Communication Skills
Selenium Testing
Test Planning",18 DAYS AGO
Trainee Engineer,"Key Management Group, Inc.",4.3,(9 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,"60% and above in Grade 10th, 12th and UG (Full time / Regular courses) Tech / BE in Com...","Computer science
C++
Web services
Database management
Management systems
Web application
Data structures
MongoDB",30+ DAYS AGO
Trainee Engineer,QuEST Global,3.6,(1035 Reviews),0-1 Yrs,Not disclosed,Bangalore/Bengaluru,Good knowledge of drawing reading and interpretation Experience Level,"AutoCAD
NX
FEA
MS Office OS
FEA tools
Hydraulics
Thermal",8 DAYS AGO
Quality Engineer,Mediant Cable,3.9,(2 Reviews),0-2 Yrs,Not disclosed,Noida,tech/ MCA Throughout 65% above is mustTechnical Understanding is requiredTechnical unde...,"SVN
presentation Communication
IT Skills
Testing
Coding
control testing
Manager Quality Control",30+ DAYS AGO
Trainee Engineer,QuEST Global,3.6,(1035 Reviews),0-1 Yrs,Not disclosed,Bangalore/Bengaluru,Good knowledge of drawing reading and interpretation,"GDnT
NX
AutoCAD
FEA
MS Office OS
FEA tools
Hydraulics
MS Office",11 DAYS AGO
AI Applications Support Engineer,IBM,4.2,(13315 Reviews),0-3 Yrs,Not disclosed,Ahmedabad,Your Role and Responsibilities Who You are: As an AI Applications Product Support Engin...,"Order management
XML
Troubleshooting
Oracle
SQL
IT Skills
Java
Cloud",12 DAYS AGO
Staff QA Engineer,IBM,4.2,(13315 Reviews),0-2 Yrs,Not disclosed,Kochi/Cochin,The IBM Unified Console team builds intuitive browser-based user experience following a...,"Automation
Coding
Analytical
Monitoring
Technical documentation
Quality standards
Shell scripting
Agile",12 DAYS AGO
Market Research Specialist (Secondary Research - Technology),Gartner India Research &amp; Advisory Services Pvt Ltd,4.1,(153 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,Management graduates preferably with 0-1 years of experienceShould structure all commun...,"Analytical skills
Quality standards
Diversity and Inclusion
Manager Technology
Market research
HR
Project planning
Research",30+ DAYS AGO
Trainee Design Engineer,QuEST Global,3.6,(1035 Reviews),0-1 Yrs,Not disclosed,Bangalore/Bengaluru,Experience Level,"Design Engineering
CATIA V5
Drawing reading
Drawing
CATIA V5 R27
Aerospace Engineering
Sheet Metal
DPDS",14 DAYS AGO
Sales Engineer,Fluence,5,(2 Reviews),0-3 Yrs,Not disclosed,New Delhi,Responsibilities Develop a deep understanding for the Fluence energy storage technology...,"IT Skills
Project Management
BPO
project management
Electrical engineering
Costing
Sales
System integration",30+ DAYS AGO
Help Desk Engineers,Egon Zehnder Information And Research Services Pvt Ltd.,3.9,(50 Reviews),0-1 Yrs,"4,25,000 - 4,50,000 PA.",Gurgaon/Gurugram,"This is a 24 / 7, rotational shift role, with two weekly compensatory leavesResolving a...","IT Skills
Testing
windows administration
Windows Administration and Messaging Services and Office 365",15 DAYS AGO
Trainee/Junior QA Engineer,ANR Software Pvt. Ltd.,3.3,(97 Reviews),0-1 Yrs,Not disclosed,Noida,Trainee / Junior QA Engineer Eligibility: Any graduate or post graduate. Knowledge of Q...,"IT Skills
Testing
Selenium
Manual Testing
Root cause analysis
Automation
QA QC Engineer
QTP",30+ DAYS AGO
Trainee/Jr. System Engineer,ANR Software Pvt. Ltd.,3.3,(97 Reviews),0-1 Yrs,Not disclosed,Noida,Trainee / Jr. System Engineer No vacancy for this position now. Visit again Eligibility...,"SAN
Redhat
IIS
VSphere
Junior Engineer
Windows
CCNA
System monitoring",30+ DAYS AGO
NLP Engineer - Deep Learning,MyHealthcare Technologies,4.7,(6 Reviews),0-2 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru","Knowledge in Speech Recognition, model training, familiarity with major speech engines ...","Azure
GCP
AWS
Flask
API's
Python
Django
Recognition",27 DAYS AGO
Artificial Intelligence/Machine Learning Engineer,Ezeiatech Systems Private Limited,4.7,(24 Reviews),0-5 Yrs,Not disclosed,Gurgaon/Gurugram,Experience applying ML to solve complex business problems from scratch Bachelors in Com...,"Artificial Intelligence
IT Skills
Python
Machine Learning
Tensorflow
NLP
Deep Learning",18 DAYS AGO
Implementation Engineer Consultant (Trainee),Exainfotech (I) Pvt. Ltd.,4.1,(3 Reviews),0-1 Yrs,Not disclosed,Gurgaon/Gurugram,"Skills Required :- knowledge of SQL, PLSQL","SQL
PLSQL",18 DAYS AGO
Software Development Manager,IBM,4.2,(13315 Reviews),8-10 Yrs,Not disclosed,Kochi/Cochin,Who you are: This opportunity is for a first line manager role to lead the Decision Opt...,"Customer management
Automation
Coding
Project management
Debugging
IT Skills
Java
J2EE",24 DAYS AGO
Software Development Manager : Bangalore,Oracle,3.9,(3298 Reviews),11-16 Yrs,Not disclosed,Bangalore/Bengaluru,A good academic background with BE / BTech degree from one of the top Engineering Insti...,"IT Skills
Java
J2EE
Software Development
Automation Testing
Scalability
JUnit
Html5",1 DAY AGO
Software Development Manager,IBM,4.2,(13315 Reviews),10-12 Yrs,Not disclosed,Ernakulam / Kochi/ Cochin,IntroductionSoftware Developers at IBM are the backbone of our strategic initiatives to...,"Project management
IT Skills
Java
Software Development
Cloud
BPO
Automation
Quality improvement",15 DAYS AGO
Software Development Manager,IBM,4.2,(13315 Reviews),10-12 Yrs,Not disclosed,Ernakulam / Kochi/ Cochin,IntroductionSoftware Developers at IBM are the backbone of our strategic initiatives to...,"Automation
IT Skills
Software Development
Testing
Team management
development testing
Coding
Relationship building",16 DAYS AGO
Software Development Manager,IBM,4.2,(13315 Reviews),8-13 Yrs,Not disclosed,Kochi/Cochin,Who you are: As a Sr. Leader/manager will be responsible for developing key technical s...,"Automation
Team management
Coding
Relationship building
Debugging
Communication
J2EE
Agile",16 DAYS AGO
Sr. Engineer Network Support,Orange Business Services,4.3,(766 Reviews),5-7 Yrs,Not disclosed,Gurgaon/Gurugram,"Experience of datacenter consolidation, transformation and migration projectsVMware / W...","networking
HSRP
Ether
Software Defined Networks
GLBP
BGP
cloud computing
Nexus",17 DAYS AGO
Sr. Engineer Network Support,Orange Business Services,4.3,(766 Reviews),5-7 Yrs,Not disclosed,Gurgaon/Gurugram,"Experience of datacenter consolidation, transformation and migration projectsVMware / W...","networking
switching
HLD
LLD
HSRP
BGP
Reporting
Release Management",17 DAYS AGO
Software Development Manager,IBM,4.2,(13315 Reviews),5-7 Yrs,Not disclosed,Ahmedabad,IntroductionSoftware Developers at IBM are the backbone of our strategic initiatives to...,"Unix
IT Skills
Java
Python
Software Development
Testing
Project Management
BPO",17 DAYS AGO
Technical Software Development Manager,IBM,4.2,(13315 Reviews),3-5 Yrs,Not disclosed,Ahmedabad,IntroductionSoftware Developers at IBM are the backbone of our strategic initiatives to...,"SQL
Interpersonal skills
Prototype
Web services
Aviation
Javascript
Agile
Scrum",17 DAYS AGO
Senior Network Engineer,PTC,4.1,(208 Reviews),2-7 Yrs,Not disclosed,Gurgaon/Gurugram,"Your Role We are looking for a Network Specialist to join a teamoriented staff, sharing...","NOC
IT Skills
Cloud
Network Engineering
Troubleshooting Skills
Communication Skills
Network Infrastructure
VPN",21 DAYS AGO
Software Development Manager,IBM,4.2,(13315 Reviews),15-20 Yrs,Not disclosed,Bangalore/Bengaluru,Assign / allocate the teams as per the requirement of the projects Required Technical a...,"Linux
zVM
IBM z
zOS
IT Skills
Software Development
Program Management
Operating systems",30+ DAYS AGO
Senior Network Engineer,AgreeYa,3.4,(108 Reviews),5-8 Yrs,Not disclosed,Gurgaon/Gurugram,"Criteria Due to the 24x7 nature of the business, the successful applicant will join the...","IT Skills
Python
Cloud
AWS
Azure
Automation
Networking
Cisco certified network professional",30+ DAYS AGO
Software Development Manager,IBM,4.2,(13315 Reviews),10-15 Yrs,Not disclosed,Kochi/Cochin,IBM is empowering organizations to reinvent themselves and change the way they run thei...,"Computer science
Automation
Infrastructure management
Monitoring
Business operations
Product management
Process automation
Agile",24 DAYS AGO
Senior Network Engineer,PTC,4.1,(208 Reviews),3-8 Yrs,Not disclosed,Gurgaon/Gurugram,Your Day to Day - Work in 24x7 environment - Weekend execution might be required and wi...,"Networking
IT Skills
Cloud
Network Engineering
NOC
VPN
Private Cloud
Network Administration",24 DAYS AGO
"Operations Site Reliability Engineer, Distribution Technology",Dun & Bradstreet,4,(157 Reviews),3-5 Yrs,Not disclosed,Hyderabad,"Bachelor s degree or higher in Computer Science or other technical discipline, or relat...","Unix
Computer science
Administration
Operational excellence
Networking
Linux
Production support
Configuration management",30+ DAYS AGO
Senior Technical Network Engineer (TM),Orange Business Services,4.3,(766 Reviews),8-12 Yrs,Not disclosed,Gurgaon/Gurugram,Minimum 8 to 12 years of experienceGood knowledge of industry standards and compliance ...,"WAN
MLAN
WLAN
Juniper routing
Cisco
Network Engineering
Networking
Juniper",30 DAYS AGO
Software Development Analyst,NTT DATA,4,(7279 Reviews),3-4 Yrs,Not disclosed,Noida,Modules managed in ServiceNow: Should have fair idea about all ITSM modules with good h...,"SNOW CMDB
ITSM
Solarwinds
Splunk
Incident Management
Truesight
Change Management
Artificial Intelligence",14 DAYS AGO
Software Development Manager- Java+Springboot+MS,Oracle,3.9,(3298 Reviews),10-20 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)","Location: Bangalore, Pune, Mumbai , and ChennaiJob Description - Experience in Hiring a...","IT Skills
Java
Software Development
Testing
Selenium
Cloud
HTML
angular",17 DAYS AGO
Hiring For VP_ Engg & Technology,IndiaMART,3.8,(1859 Reviews),7-9 Yrs,Not disclosed,Noida,"Minimum 7-9 years of experience in similar profile, programming experience in early car...","java
web technologies
javascript
IT Skills
PHP
Cloud
Oracle
Angularjs",18 DAYS AGO
Software Development Manager,IBM,4.2,(13315 Reviews),12-15 Yrs,Not disclosed,Bangalore/Bengaluru,How we ll help you grow: You ll have access to all the technical and management trainin...,"Cloud computing
Linux
Infrastructure
Management
Middleware
IT Skills
Software Development
Cloud",16 DAYS AGO
TM - Senior Tech Network Engineer,Orange Business Services,4.3,(766 Reviews),5-10 Yrs,Not disclosed,Gurgaon/Gurugram,6 to 10 years of work experience in Telecom domainminimum 5-6 years of hands on experie...,"customer service
change management
communication
time management
leadership
Problem solving
interpersonal skills
Matrix Management",17 DAYS AGO
TM Senior Tech Network Engineer,Orange Business Services,4.3,(766 Reviews),5-10 Yrs,Not disclosed,Gurgaon/Gurugram,6 to 10 years of work experience in Telecom domain minimum 5-6 years of hands on experi...,"Layer-3 configurations
customer service
Excellence
change management
Matrix Management
communication
time management
Leadership Management",18 DAYS AGO
Software Development Manager,IBM,4.2,(13315 Reviews),10-15 Yrs,Not disclosed,Kochi/Cochin,IBM is empowering organizations to reinvent themselves and change the way they run thei...,"Automation
Infrastructure management
Cloud
Monitoring
Business operations
Computer science
Software development methodologies
devops",18 DAYS AGO
Senior Technical Network Engineer - (TM),Orange Business Services,4.3,(766 Reviews),5-10 Yrs,Not disclosed,Gurgaon/Gurugram,6 to 10 years of work experience in Telecom domainminimum 5-6 years of hands on experie...,"customer service
change management
communication
Network Engineering
Telecom
Networking
Technical Network Engineer",19 DAYS AGO
SDN NFV Software Business and Integration Architect,Accenture,4.1,(26528 Reviews),12-15 Yrs,Not disclosed,Bangalore/Bengaluru,"Educational Qualification : BE or B Tech, MCA Work Experience : 12-15 years","Automation
Networking
Coding
Consulting
Python
IXIA
Spirent
GCP",11 DAYS AGO
SDN NFV Software Business and Integration Architect,Accenture,4.1,(26528 Reviews),8-10 Yrs,Not disclosed,Bangalore/Bengaluru,"Educational Qualification : BE or B Tech, MCA Work Experience : 8-10 years","VMware
orchestration
Coding
Consulting
Business strategy
NFV
REST APIs
Kubernetes",11 DAYS AGO
Java Developer Trainee,AgreeYa,3.4,(108 Reviews),0-2 Yrs,Not disclosed,Noida,"Mandatory Skills: Core Java, Adv Java (Spring, Spring boot, Hibernate / JPA (Must have)...","IT Skills
Java
J2EE
HTML
Jenkins
Maven
Hibernate
Core Java",30+ DAYS AGO
Product Developer- Power BI - Market Research Specialist,Gartner,4.3,(41 Reviews),0-3 Yrs,Not disclosed,Gurgaon/Gurugram,Hands on experience with implementing machine learning algorithms and modelsAssociate m...,"Graphics
Primary research
Market research
Workflow
Product design
microsoft
Analytics
SQL",22 DAYS AGO
Java Developer,Newgen,3.6,(521 Reviews),0-2 Yrs,Not disclosed,"Noida, Chennai, Bangalore/Bengaluru",The incumbent should be BE / B Tech / MTech Computer Science Graduates preferably with ...,"spring boot
j2ee
hibernate
Spring
IT Skills
Java
Oracle
spring mvc",4 DAYS AGO
AngularJS Developer - VanillaJS/HTML,Young Mind Technology Solutions,3.5,(29 Reviews),0-2 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Delhi / NCR, Bangalore/Bengaluru",Deep knowledge of AngularJS practices and commonly used modules based on extensive work...,"AngularJS
VanillaJS
HTML
RESTful API
CSS
Multithreading
JavaScript
Webservices",27 DAYS AGO
React JS Developer,MothersonSumi INfotech & Designs Ltd. (MIND),3.2,(254 Reviews),0-2 Yrs,Not disclosed,Noida,"Managing projects, requirement gathering, writing design & technical / functional speci...","React JS
development
IT Skills
Cloud
Administration
Vendor evaluation
Business Analyst
Project management",30+ DAYS AGO
NODE JS Developer,MothersonSumi INfotech & Designs Ltd. (MIND),3.2,(254 Reviews),0-2 Yrs,Not disclosed,Noida,"Managing projects, requirement gathering, writing design & technical / functional speci...","Node JS
IT Skills
Cloud
Administration
Vendor evaluation
Business Analyst
Project management
Javascript",30+ DAYS AGO
HTML Developer,MothersonSumi INfotech & Designs Ltd. (MIND),3.2,(254 Reviews),0-2 Yrs,Not disclosed,Noida,"Managing projects, requirement gathering, writing design & technical / functional speci...","HTML
IT Skills
Cloud
CSS
Administration
Vendor evaluation
Business Analyst
Project management",30+ DAYS AGO
Lead JAVA developer,AgreeYa,3.4,(108 Reviews),0-5 Yrs,Not disclosed,Noida,"Basic Function Extremely hands on with Java 8 Very good knowledge on data structures, o...","Hibernate
Business Driven Development
FindBugs
NodeJs
JMockit
PMD
ECMA
J2EE",30+ DAYS AGO
Software Engineer | .Net Developer Performance Tester,Allscripts India pvt. ltd.,4.3,(395 Reviews),3-5 Yrs,Not disclosed,Pune,"Hands on experience with C# and .NET coding, should be able to understand and write cod...","API Testing
Web Service Testing
SDK Testing
JMeter
Net coding
C#
SQL server
SQL queries",30+ DAYS AGO
Software Engineer - Back End Developer,Inspirisys solutions,3.9,(154 Reviews),3-5 Yrs,Not disclosed,"Kochi, Chennai, Bengaluru, Trivandrum",Have a minimum of 3 years of experience in solution development Proficient knowledge in...,"Java
cloud application development
SpringBoot
Azure
AWS
GitHub
Waterfall
TFS",30+ DAYS AGO
Software Engineer - Front End Developer,Inspirisys solutions,3.9,(154 Reviews),3-5 Yrs,Not disclosed,"Kochi, Chennai, Bengaluru, Trivandrum","Have a minimum of 3 years of experience in ReactJS, HTML5, CSS3, responsive design Shou...","TFS
Jira
SDLC
Agile
CSS3
cloud application development
AWS
GitHub",30+ DAYS AGO
Sr Software Engineer,NortonLifeLock,4.2,(522 Reviews),9-10 Yrs,Not disclosed,Chennai,Hands-On Experience in the following 9+ Years Relevant Work Experience,"Algorithms
OOPS
MFC
Data Structures
ATL
Win32
C++
windows internals",30+ DAYS AGO
Senior Software Engineer - Delphi + .Net,Damco,3.4,(130 Reviews),4-6 Yrs,"12,00,000 - 18,00,000 PA.","Noida, Faridabad, Delhi / NCR",Should be experienced in developing client server applications using Microsoft SQL Serv...,Delphi,30+ DAYS AGO
Senior Software Engineer - Java,Informatica,4.8,(19 Reviews),4-9 Yrs,Not disclosed,Bangalore/Bengaluru,Must demonstrate excellent written or oral communication skills including the ability t...,"IT Skills
Java
Software Development
Testing
Quality Assurance
Cloud
AWS
Computer science",30+ DAYS AGO
Senior Software Engineer - News Distribution,FACTSET SYSTEMS INDIA PVT LTD,4,(806 Reviews),2-5 Yrs,Not disclosed,Hyderabad/Secunderabad,The News Distribution team is responsible for designing and maintaining the various API...,"Linux
Python
service
oriented architectures
OOP
debugging
communication
GDB",30+ DAYS AGO
Senior Software Engineer,FACTSET SYSTEMS INDIA PVT LTD,4,(806 Reviews),4-7 Yrs,Not disclosed,Hyderabad/Secunderabad,Role/Department Description: Systems Infrastructure is looking for a talented Senior So...,"communication
JIRA
Elasticsearch
TypeScript
Vue
Angular
ContentFul
analytical",30+ DAYS AGO
Senior Software Engineer,CA Technologies,3.5,(246 Reviews),4-6 Yrs,Not disclosed,Pune,"Skills & experience To qualify for this position, you must have Bachelor’s degree with ...","Supply chain
Data analysis
Publishing
Agile
operational risk management
Scrum
Business modeling
Stakeholder management",30+ DAYS AGO
Sr Software Engineer,NortonLifeLock,4.2,(522 Reviews),3-6 Yrs,Not disclosed,Chennai,The ideal candidate is a divergent thinker who understands industry best practices and ...,"Unix
C++
Linux
Analytical
Debugging
Agile
Data structures
Unit testing",30+ DAYS AGO
Senior Software Engineer,Dun & Bradstreet,4,(157 Reviews),3-5 Yrs,Not disclosed,Hyderabad/Secunderabad,Bachelor s Degree in Computer Science or any equivalent degree Strong hands on experien...,"IT Skills
Java
J2EE
Testing
Cloud
Computer science
RCA
GIT",30+ DAYS AGO
